Title,Author,Barcode,"Item number (internal)","Permanent library","Shelving location","Call number","Not for loan","Lost status","Damaged status","Withdrawn status","Inventory number"
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8765,8849,1,,,,Missing,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8766,8850,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8767,8851,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8768,8852,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8769,8853,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8770,8854,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8771,8855,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8772,8856,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8773,8857,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8774,8858,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8775,8859,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8776,8860,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8777,8861,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8778,8862,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,8779,8863,1,,,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,10733,10840,1,"0Kindergarten classroom",,,,,,,
" SING, SPELL, READ AND WRITE ON TRACK LEVEL K STORYBOOKS SETS (1-6) 2004",,10734,10841,1,"0Kindergarten classroom",,,,,,,
"A Beginner's Guide to Constructing the Universe: Mathematical Archetypes of Nature, Art, and Science","Michael S. Schneider ",944,961,1,CRK,,,,,,,
"A Beginner's Guide to Constructing the Universe: Mathematical Archetypes of Nature, Art, and Science","Michael S. Schneider ",945,962,1,"SJBS curriculum literature",,,,,,,
"A Book of Gladness",,4689,4743,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4690,4744,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4691,4745,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4692,4746,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4693,4747,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4694,4748,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4695,4749,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4696,4750,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4697,4751,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4698,4752,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4699,4753,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4700,4754,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,4714,4768,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8586,8668,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8587,8669,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8588,8670,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8589,8671,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8590,8672,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8591,8673,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8592,8674,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8593,8675,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8594,8676,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8595,8677,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,8596,8678,1,"4th grade classroom",,,,,,,
"A Book of Gladness",,9888,9986,1,"3rd grade classroom",,,,,,,
"A Book of Gratitude",,4494,4548,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4495,4549,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4496,4550,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4497,4551,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4498,4552,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4499,4553,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4500,4554,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4501,4555,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4502,4556,1,"5th grade classroom",,,,,,,
"A Book of Gratitude",,4503,4557,1,"5th grade classroom",,,,,,,
"A Catholic Child Prayer Book",,11181,11289,1,"Catholic Resources",,,,,,,
